responsibility_set_ref,network_id
QBUZZ:ResponsibilitySet:FY,NL:DOVA:Network:FY
QBUZZ:ResponsibilitySet:ZHN,NL:DOVA:Network:ZHN
ARR:ResponsibilitySet:RAIL-VD#VD:P856,NL:DOVA:Network:RAIL-VD
CXX:ResponsibilitySet:C-AML_2018,NL:DOVA:Network:AML
CXX:ResponsibilitySet:C-GOOI_2011,NL:DOVA:Network:GOOI
CXX:ResponsibilitySet:C-SAN-2012TR,NL:DOVA:Network:SAN
HTM:ResponsibilitySet:HGL-R,NL:DOVA:Network:HGL-R
NL:WPD:ResponsibilitySet:Financier,NL:DOVA:Network:WPD
QBUZZ:ResponsibilitySet:Waterbus,NL:DOVA:Network:WATERBUS
RET:ResponsibilitySet:Concession_RTD-R,NL:DOVA:Network:RTD-R
ZTM:ResponsibilitySet:Concession_NC,NL:DOVA:Network:NC
NL:EBS:ResponsibilitySet:VPR,NL:DOVA:Network:VPR
CXX:ResponsibilitySet:C-VZ,NL:DOVA:Network:VZ
CXX:ResponsibilitySet:C-PARKSHUT,NL:DOVA:Network:PARKSHUT
ARR:ResponsibilitySet:ACH-RIV#AH:P1139,NL:DOVA:Network:ACH-RIV
CXX:ResponsibilitySet:C-CTS-GD,NL:DOVA:Network:GD
CXX:ResponsibilitySet:C-ZOB,NL:DOVA:Network:SRE
NL:EBS:ResponsibilitySet:HGL-STR,NL:DOVA:Network:HGL-STR
QBUZZ:ResponsibilitySet:U-OV,NL:DOVA:Network:U-OV
QBUZZ:ResponsibilitySet:DMG,NL:DOVA:Network:DMG
GVB:ResponsibilitySet:GVB,NL:DOVA:Network:GVB
ARR:ResponsibilitySet:RAIL-NN#NN:P982,NL:DOVA:Network:RAIL-NN
CXX:ResponsibilitySet:C-SAN-2012,NL:DOVA:Network:SAN
CXX:ResponsibilitySet:C-ZLD-2014,NL:DOVA:Network:ZLD
CXX:ResponsibilitySet:C-HLM-IJM_17,NL:DOVA:Network:HLM-IJM
CXX:ResponsibilitySet:C-HWGO_2016,NL:DOVA:Network:HWGO
RET:ResponsibilitySet:Concession_RTD-B,NL:DOVA:Network:RTD-B
NL:EBS:ResponsibilitySet:IJV,NL:DOVA:Network:IJV
HTM:ResponsibilitySet:HGL-STD,NL:DOVA:Network:HGL-STD
CXX:ResponsibilitySet:C-NHN_2018,NL:DOVA:Network:NHN
QBUZZ:ResponsibilitySet:GD,NL:DOVA:Network:GD
CXX:ResponsibilitySet:C-GOOI_21,NL:DOVA:Network:GOOI
ARR:ResponsibilitySet:LMB#LZ:P1160,NL:DOVA:Network:LMB
NL:KEOLIS:ResponsibilitySet:AL,NL:DOVA:Network:ALM
NL:KEOLIS:ResponsibilitySet:PU,NL:DOVA:Network:PUT
ARR:ResponsibilitySet:TW#TW:P1163,NL:DOVA:Network:TW
ARR:ResponsibilitySet:SLA#SH:P1146,NL:DOVA:Network:SLA
NL:KEOLIS:ResponsibilitySet:AE,NL:DOVA:Network:RAIL-AEW
NL:KEOLIS:ResponsibilitySet:RL,NL:DOVA:Network:RAIL-KZE
NL:TESO:ResponsibilitySet:Financier,NL:DOVA:Network:NC
NL:WSF:ResponsibilitySet:Concessie,NL:DOVA:Network:FFVB
NL:EBS:ResponsibilitySet:ZW,NL:DOVA:Network:ZW
ARR:ResponsibilitySet:BO#BO:P1162,NL:DOVA:Network:BO
ARR:ResponsibilitySet:BW#BW:P1154,NL:DOVA:Network:BW
