responsible_area_ref,authority,transport_companies,brand,start_date,end_date
Achterhoek-Rivierenland ,Provincie Gelderland ,{Arriva},,2010-12-12 00:00:00,2025-12-13 00:00:00
Airport Shuttle Lelystad ,Provincie Flevoland ,{Arriva},,2020-04-01 00:00:00,2030-03-31 00:00:00
Amstelland-Meerlanden ,Vervoerregio Amsterdam ,{Connexxion},,2017-12-10 00:00:00,2032-12-11 00:00:00
Arnhem Nijmegen ,Provincie Gelderland ,{Hermes},Breng,2012-12-09 00:00:00,2026-06-27 00:00:00
Bus Rotterdam ,MRDH ,{RET},,2019-12-15 00:00:00,2034-12-09 00:00:00
Busvervoer Almere ,Gemeente Almere ,{Keolis Nederland},,2017-12-10 00:00:00,2027-12-11 00:00:00
"Drechtsteden, Molenlanden en Gorinchem",Provincie Zuid-Holland ,{Qbuzz},,2018-12-09 00:00:00,2033-12-10 00:00:00
Fast Ferry Vlissingen-Breskens ,Provincie Zeeland ,{Westerschelde Ferry BV},,2024-01-01 00:00:00,2027-12-31 00:00:00
FlexRRReis Flevoland ,Provincie Flevoland ,{Willemsen-De Koning},,2025-07-01 00:00:00,2031-06-30 00:00:00
Friese Waddenveren Oost ,Ministerie van Infrastructuur en Waterstaat ,{Wagenborg},,2014-04-09 00:00:00,2029-01-08 00:00:00
Friese Waddenveren West ,Ministerie van Infrastructuur en Waterstaat ,{Rederij Doeksen},,2014-04-18 00:00:00,2029-01-08 00:00:00
Fryslân ,Provincie Fryslân ,{Qbuzz},,2024-12-15 00:00:00,2034-12-09 00:00:00
Gooi en Vechtstreek ,Provincie Noord-Holland ,{Transdev},,2021-07-11 00:00:00,2030-12-14 00:00:00
Groningen-Drenthe ,OV-bureau Groningen-Drenthe (OVBGD) ,{Qbuzz},,2019-12-15 00:00:00,2029-12-08 00:00:00
Haaglanden Stad ,MRDH ,{HTM},,2019-12-15 00:00:00,2034-12-09 00:00:00
Haaglanden Streek ,MRDH ,{EBS},,2019-08-25 00:00:00,2030-12-14 00:00:00
Haarlem-IJmond ,Provincie Noord-Holland ,{Connexxion},,2017-09-03 00:00:00,2028-07-15 00:00:00
HaltetaxiRRReis Gelderland ,Provincie Gelderland ,{Qarin},,2022-04-03 00:00:00,2026-04-06 00:00:00
Hoeksche Waard - Goeree-Overflakkee ,Provincie Zuid-Holland ,{Connexxion},,2015-12-13 00:00:00,2025-12-13 00:00:00
Hoofdrailnet ,Ministerie van I&W ,{NS},,2025-01-01 00:00:00,2033-12-24 00:00:00
IJssel-Vecht ,"Provincies Flevoland, Gelderland en Overijssel",{EBS},RRReis,2022-12-11 00:00:00,2035-12-08 00:00:00
Limburg ,Provincie Limburg ,{Arriva},,2016-12-11 00:00:00,2031-12-13 00:00:00
Noord-Holland Noord ,Provincie Noord-Holland ,{Connexxion},,2018-07-22 00:00:00,2028-07-15 00:00:00
Oost-Brabant ,Provincie Noord-Brabant ,{Arriva},Bravo,2014-12-14 00:00:00,2026-12-12 00:00:00
